PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS,,,,,,,,,,,,
YEAR,WEEK,AGE 0-4,AGE 5-24,AGE 25-49,AGE 25-64,AGE 50-64,AGE 65,ILITOTAL,TOTAL PATIENTS,NUM. OF PROVIDERS,%UNWEIGHTED ILI,% WEIGHTED ILI
2018,40,4857,6300,3839,X,1553,1290,17839,1252483,2565,1.42429,1.41846
2018,41,5307,6250,4026,X,1657,1321,18561,1252846,2609,1.48151,1.40418
2018,42,5582,6799,4399,X,1752,1398,19930,1249933,2586,1.59449,1.47401
2018,43,6242,7478,4617,X,1835,1444,21616,1251776,2646,1.72683,1.64257
2018,44,6864,8285,4730,X,1825,1450,23154,1254812,2633,1.84522,1.79275
2018,45,7504,8448,4831,X,1840,1450,24073,1246860,2645,1.93069,1.87043
2018,46,7805,8050,5017,X,1995,1480,24347,1164292,2631,2.09114,1.98387
2018,47,8598,7193,5011,X,2111,1699,24612,1020898,2586,2.41082,2.24169
2018,48,8885,8787,6576,X,2756,2076,29080,1292335,2640,2.25019,2.14883
2018,49,8803,9269,5969,X,2454,1861,28356,1230419,2633,2.30458,2.25531
2018,50,10150,11373,6819,X,2776,1980,33098,1209022,2622,2.73758,2.64571
2018,51,11507,12811,8119,X,3320,2479,38236,1177786,2571,3.24643,3.14075
2018,52,13586,12026,10315,X,4454,3523,43904,1047161,2545,4.19267,3.97127
2019,1,11675,9557,11402,X,5200,4260,42094,1158023,2609,3.63499,3.46125
2019,2,9344,10744,10401,X,4820,3443,38752,1233836,2629,3.14077,3.07707
2019,3,9668,14248,10024,X,4226,2943,41109,1221478,2633,3.36551,3.32915
2019,4,10728,16925,11164,X,4443,2853,46113,1184495,2614,3.89305,3.81999
2019,5,11606,22188,13032,X,5110,3251,55187,1219521,2639,4.5253,4.3419
2019,6,13828,29688,15708,X,6134,4084,69442,1331519,2644,5.21525,4.88288
2019,7,14224,29223,15928,X,6329,4274,69978,1288318,2628,5.43173,5.04211
2019,8,13612,26456,15684,X,6115,4478,66345,1257106,2623,5.2776,4.88596
2019,9,11622,23450,13833,X,5699,4131,58735,1278001,2634,4.59585,4.5499
2019,10,11146,21736,13058,X,5356,4052,55348,1256934,2614,4.40341,4.38001
2019,11,10975,20065,12570,X,5347,4176,53133,1285646,2622,4.13279,4.2288
2019,12,9559,16537,10484,X,4431,3775,44786,1257449,2596,3.56166,3.68449
2019,13,8621,13608,8631,X,3801,3183,37844,1238213,2587,3.05634,3.08744
2019,14,7591,11757,7486,X,3271,2800,32905,1226648,2597,2.68251,2.69971
