PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
National,X,2022,40,2.61928,2.59379,18503,10718,X,20141,4094,3862,57318,3684,2209814
National,X,2022,41,2.97342,2.85133,20623,11519,X,22779,4394,4073,63388,3720,2223106
National,X,2022,42,3.33747,3.31688,23713,13719,X,28368,5303,4512,75615,3726,2279700
National,X,2022,43,4.40914,4.4466,32012,19586,X,45003,7037,5858,109496,3788,2462467
National,X,2022,44,5.46044,5.54702,37474,25460,X,61015,8469,6829,139247,3776,2510305
National,X,2022,45,5.77391,5.67263,38651,26941,X,57053,9791,7619,140055,3793,2468962
National,X,2022,46,5.95367,5.73531,34849,28672,X,55229,10171,8498,137419,3777,2396019
National,X,2022,47,7.46674,7.37142,39539,36157,X,62925,13876,12439,164936,3765,2237505
National,X,2022,48,7.22916,7.24012,38495,48042,X,63623,18626,16887,185673,3767,2564503
National,X,2022,49,6.83803,6.82928,32316,40778,X,62563,16557,15034,167248,3750,2448985
National,X,2022,50,6.32716,6.46231,28976,38007,X,55613,15506,13570,151672,3751,2347026
National,X,2022,51,5.98024,6.1412,25500,34587,X,41624,14564,13703,129978,3715,2116491
National,X,2022,52,5.33738,5.46656,22891,31974,X,27251,14961,15454,112531,3703,2058533
National,X,2023,1,3.94632,4.07732,16651,27662,X,21006,13549,13166,92034,3740,2257219
National,X,2023,2,2.95379,3.05773,12231,19912,X,18061,9135,8381,67720,3737,2214718
National,X,2023,3,2.64461,2.70671,11720,15844,X,16915,7000,6291,57770,3730,2134322
National,X,2023,4,2.63254,2.67225,12170,15618,X,18680,6410,5353,58231,3716,2179097
National,X,2023,5,2.58785,2.68591,12686,15506,X,19751,6113,5270,59326,3734,2208786
National,X,2023,6,2.59797,2.70465,13271,15921,X,20964,6469,5633,62258,3735,2301891
National,X,2023,7,2.57397,2.6371,13127,15055,X,19818,6263,5402,59665,3695,2262519
National,X,2023,8,2.53338,2.58651,13478,13880,X,18410,6054,5401,57223,3719,2212367
National,X,2023,9,2.41141,2.44348,12693,13849,X,18281,5769,5090,55682,3725,2278801
National,X,2023,10,2.36135,2.40445,12840,13379,X,18388,5365,4714,54686,3722,2274369
National,X,2023,11,2.35552,2.43524,13086,13264,X,17814,5298,4801,54263,3713,2228243
National,X,2023,12,2.31452,2.41343,13043,13685,X,18685,5286,4695,55394,3665,2295244
National,X,2023,13,2.26061,2.34891,12413,13208,X,18078,5005,4638,53342,3688,2270922
National,X,2023,14,2.13495,2.20628,11586,11976,X,15673,4783,4337,48355,3680,2191695
National,X,2023,15,2.01808,2.0726,11151,11853,X,14832,4552,4337,46725,3665,2254413
National,X,2023,16,1.91773,1.95437,9912,11388,X,14788,4361,4058,44507,3680,2277306
National,X,2023,17,1.91233,1.97315,10041,11176,X,15803,4133,3649,44802,3677,2270577
National,X,2023,18,1.95706,2.0174,10013,11224,X,16115,4283,3947,45582,3652,2259439
National,X,2023,19,1.92178,1.99349,10187,11067,X,16725,4072,3718,45769,3654,2295923
National,X,2023,20,1.88729,1.96641,9740,10697,X,15517,3875,3458,43287,3651,2201318
National,X,2023,21,1.83862,1.91421,9389,10386,X,14611,3640,3490,41516,3516,2168837
National,X,2023,22,1.85276,1.93847,9568,10413,X,14220,3845,3543,41589,3599,2145458
National,X,2023,23,1.5823,1.69304,8309,9954,X,11628,3622,3426,36939,3581,2181818
National,X,2023,24,1.49042,1.57482,7741,9289,X,10223,3447,3180,33880,3587,2151354
National,X,2023,25,1.36728,1.44419,6998,8727,X,8941,3236,2987,30889,3580,2138841
National,X,2023,26,1.2762,1.32397,6388,8130,X,8012,3046,2910,28486,3537,2151567
National,X,2023,27,1.23526,1.29104,5944,7472,X,7475,2940,2817,26648,3567,2064071
National,X,2023,28,1.1629,1.2019,5608,7567,X,7043,2925,2760,25903,3541,2155163
National,X,2023,29,1.12986,1.19285,5718,7476,X,6836,2931,2841,25802,3558,2163061
National,X,2023,30,1.17182,1.231,5812,7475,X,7046,3137,2947,26417,3550,2145981
National,X,2023,31,1.20908,1.26141,5677,7979,X,6966,3273,3000,26895,3539,2132141
National,X,2023,32,1.28087,1.35963,5980,8642,X,7763,3560,3365,29310,3519,2155733
National,X,2023,33,1.45925,1.54011,6686,9791,X,9758,3784,3641,33660,3529,2185559
National,X,2023,34,1.72145,1.82667,8230,11256,X,13150,4300,4038,40974,3521,2243104
National,X,2023,35,1.94692,1.96229,8935,11724,X,14534,4612,4308,44113,3532,2248034
National,X,2023,36,2.01848,2.01275,9528,11760,X,14071,4594,4543,44496,3533,2210702
National,X,2023,37,1.9485,1.97708,9453,11733,X,14780,4678,4362,45006,3549,2276390
National,X,2023,38,2.03099,2.11456,10817,11913,X,16003,4687,4448,47868,3552,2263734
National,X,2023,39,2.10369,2.18035,11372,12298,X,16110,4934,4550,49264,3547,2259450
