,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
1148,2019,40,1.49064,1.50415,21915,2896,1456967
1149,2019,41,1.59269,1.59823,22953,2924,1436150
1150,2019,42,1.72517,1.73838,24857,2950,1429897
1151,2019,43,1.83428,1.8605,27419,2980,1473740
1152,2019,44,2.04049,2.01425,28910,2989,1435277
1153,2019,45,2.39351,2.36364,34586,3007,1463253
1154,2019,46,2.63245,2.64431,37728,2976,1426760
1155,2019,47,2.91944,2.97548,44148,2971,1483729
1156,2019,48,3.41066,3.44787,43817,2971,1270842
1157,2019,49,3.2622,3.31577,48877,2977,1474075
1158,2019,50,3.94308,3.86928,56444,2947,1458774
1159,2019,51,5.06529,5.02757,71584,2913,1423829
1160,2019,52,7.06161,7.15315,95757,2905,1338669
1161,2020,1,5.91974,6.22926,88681,2957,1423620
1162,2020,2,4.94176,5.06974,75585,2987,1490905
1163,2020,3,5.33174,5.35782,79746,2983,1488404
1164,2020,4,6.08106,6.0261,90072,2984,1494697
1165,2020,5,6.74724,6.87271,108307,2984,1575900
1166,2020,6,6.7998,7.08261,111289,2994,1571300
1167,2020,7,6.11292,6.22068,95418,2958,1533883
1168,2020,8,5.55671,5.62148,79832,2909,1420123
1169,2020,9,5.12279,5.10226,74809,2934,1466192
1170,2020,10,5.26652,5.28928,78779,2901,1489410
1171,2020,11,5.67081,6.29229,89571,2836,1423503
1172,2020,12,6.38029,7.35285,78584,2798,1068755
1173,2020,13,4.91692,6.22687,53142,2727,853431
1174,2020,14,3.78625,4.82995,36251,2684,750546
1175,2020,15,2.80122,3.47366,24974,2686,718953
1176,2020,16,2.12879,2.57382,18265,2666,709645
1177,2020,17,1.73315,2.02032,15164,2652,750576
1178,2020,18,1.40932,1.62094,12817,2624,790715
1179,2020,19,1.18336,1.35262,11066,2611,818113
1180,2020,20,1.11451,1.23819,10480,2601,846400
1181,2020,21,1.00534,1.07598,11735,2971,1090638
1182,2020,22,0.88827,0.885843,9614,2950,1085294
1183,2020,23,0.814062,0.819928,9325,2931,1137295
1184,2020,24,0.836751,0.814575,9580,2902,1176074
1185,2020,25,0.928456,0.950979,11866,2935,1247767
1186,2020,26,1.14217,1.20306,15499,2896,1288294
1187,2020,27,1.27401,1.38424,17843,2897,1289006
1188,2020,28,1.34951,1.47311,20046,2918,1360798
1189,2020,29,1.34471,1.43761,19260,2894,1339726
1190,2020,30,1.22153,1.21898,16533,2953,1356301
1191,2020,31,1.15258,1.15067,15524,2992,1349125
1192,2020,32,1.0626,1.05662,14117,2956,1336052
1193,2020,33,0.979884,0.981699,13193,2978,1343895
1194,2020,34,0.969202,0.961833,12952,2930,1346595
1195,2020,35,1.00022,0.970543,13159,2967,1355839
1196,2020,36,0.920817,0.919002,12316,2921,1340149
1197,2020,37,1.0355,0.978032,13035,2915,1332779
1198,2020,38,0.974333,0.955677,13049,2943,1365420
1199,2020,39,1.06462,1.03845,14586,2941,1404590
1200,2020,40,1.09211,1.08024,16466,3246,1524289
1201,2020,41,1.21201,1.19451,19144,3318,1602667
1202,2020,42,1.11151,1.09796,17235,3301,1569727
1203,2020,43,1.18662,1.15393,18133,3330,1571417
1204,2020,44,1.25262,1.18924,18554,3421,1560158
1205,2020,45,1.44427,1.33759,21370,3425,1597645
1206,2020,46,1.48969,1.37845,22598,3391,1639379
1207,2020,47,1.56064,1.43236,22709,3334,1585429
1208,2020,48,1.61944,1.49959,21313,3333,1421255
1209,2020,49,1.57347,1.44967,22251,3339,1534905
1210,2020,50,1.51939,1.42617,22103,3358,1549810
1211,2020,51,1.50599,1.39797,20874,3299,1493163
1212,2020,52,1.55485,1.45725,19836,3301,1361197
1213,2020,53,1.58903,1.53781,22423,3280,1458113
1214,2021,1,1.47519,1.4348,22711,3316,1582870
1215,2021,2,1.28752,1.2606,19018,3278,1508647
1216,2021,3,1.25172,1.21098,18350,3315,1515305
1217,2021,4,1.10177,1.12283,16896,3324,1504764
1218,2021,5,1.16565,1.08237,16098,3295,1487296
1219,2021,6,1.00609,0.975086,14079,3246,1443873
1220,2021,7,0.986101,0.907555,12591,3256,1387354
1221,2021,8,0.864388,0.860857,13344,3276,1550083
1222,2021,9,0.828056,0.842356,13000,3278,1543291
1223,2021,10,0.882103,0.902897,14077,3284,1559093
1224,2021,11,0.908033,0.939382,14574,3227,1551445
1225,2021,12,0.947577,0.96011,15354,3201,1599192
1226,2021,13,0.975225,0.998141,15993,3257,1602279
1227,2021,14,1.06101,1.07796,18100,3277,1679101
1228,2021,15,1.08091,1.1089,19165,3282,1728295
1229,2021,16,1.10326,1.1502,19305,3248,1678407
1230,2021,17,1.13361,1.1834,20099,3256,1698411
1231,2021,18,1.14992,1.20915,19930,3227,1648268
1232,2021,19,1.19092,1.25462,20367,3214,1623366
1233,2021,20,1.24677,1.26333,21262,3193,1683010
1234,2021,21,1.14504,1.19095,19675,3141,1652047
1235,2021,22,1.18454,1.25187,20143,3140,1609033
1236,2021,23,1.12943,1.14521,19182,3110,1674977
1237,2021,24,1.18866,1.18174,19579,3068,1656791
1238,2021,25,1.21202,1.21001,19890,3057,1643793
1239,2021,26,1.21342,1.21283,20092,3055,1656615
1240,2021,27,1.26676,1.32905,22371,3055,1683237
1241,2021,28,1.38728,1.44269,25261,3067,1750965
1242,2021,29,1.6475,1.70926,30545,3067,1787028
1243,2021,30,1.80199,1.91065,35195,3050,1842048
1244,2021,31,1.94952,2.05206,37756,3050,1839909
1245,2021,32,2.03548,2.15548,40067,3042,1858843
1246,2021,33,2.1918,2.30581,42721,3029,1852756
1247,2021,34,2.23897,2.30752,43058,3028,1865986
1248,2021,35,2.26643,2.25253,40864,3027,1814136
1249,2021,36,2.21298,2.21275,39421,3021,1781535
1250,2021,37,2.045,2.00464,36193,3059,1805463
1251,2021,38,1.90124,1.93759,33976,3037,1753523
1252,2021,39,1.8442,1.84367,29949,2877,1624427
1253,2021,40,2.03726,1.96383,39606,3590,2016770
1254,2021,41,1.94864,1.90565,37639,3580,1975130
1255,2021,42,1.92538,1.86005,35684,3538,1918446
1256,2021,43,1.9789,1.89307,36616,3572,1934216
1257,2021,44,2.1334,2.08583,39986,3578,1917029
1258,2021,45,2.25788,2.22432,44242,3601,1989010
1259,2021,46,2.41079,2.35599,47047,3591,1996913
1260,2021,47,2.51762,2.45722,43297,3584,1762035
1261,2021,48,2.55244,2.56131,52671,3608,2056405
1262,2021,49,2.72476,2.71523,55027,3613,2026604
1263,2021,50,3.14645,3.09817,62539,3584,2018579
1264,2021,51,4.00686,4.07763,79184,3564,1941911
1265,2021,52,4.90468,5.07044,113921,3532,2246767
1266,2022,1,4.32906,4.28249,93323,3562,2179176
1267,2022,2,3.5344,3.41512,69158,3568,2025052
1268,2022,3,2.82024,2.68756,48685,3573,1811493
1269,2022,4,2.06558,1.96884,34720,3554,1763472
1270,2022,5,1.68092,1.55907,25809,3488,1655407
1271,2022,6,1.44022,1.33898,23719,3548,1771418
1272,2022,7,1.48974,1.37013,23930,3545,1746548
1273,2022,8,1.46266,1.369,23620,3546,1725348
1274,2022,9,1.58728,1.42265,25789,3541,1812738
1275,2022,10,1.70339,1.54633,28073,3563,1815454
1276,2022,11,1.83335,1.6781,31342,3535,1867703
1277,2022,12,1.87057,1.73106,32433,3531,1873589
1278,2022,13,1.97612,1.85385,34811,3518,1877763
1279,2022,14,2.07126,1.99356,38128,3526,1912563
1280,2022,15,2.16302,2.12932,40953,3518,1923288
1281,2022,16,2.20418,2.1826,42072,3530,1927606
1282,2022,17,2.24681,2.21199,44980,3520,2033467
