,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
261,2002,40,1.22262,1.16668,2060,754,176569
262,2002,41,1.33344,1.2165,2267,785,186355
263,2002,42,1.31929,1.13057,2176,831,192469
264,2002,43,1.49484,1.25246,2599,863,207512
265,2002,44,1.47195,1.30237,2907,909,223208
266,2002,45,1.58094,1.40551,3225,930,229454
267,2002,46,1.49426,1.38437,3097,923,223712
268,2002,47,1.40569,1.32563,2967,922,223818
269,2002,48,1.6141,1.43475,2709,918,188814
270,2002,49,1.45967,1.25433,3049,937,243078
271,2002,50,1.59896,1.25757,2957,928,235136
272,2002,51,2.16697,1.58017,3416,908,216179
273,2002,52,2.57842,1.98008,2857,865,144287
274,2003,1,2.38636,1.90428,3260,879,171193
275,2003,2,1.73621,1.5901,3729,926,234513
276,2003,3,2.06296,1.81559,4204,902,231550
277,2003,4,2.58113,2.41801,5696,927,235566
278,2003,5,2.93909,2.86635,7079,884,246969
279,2003,6,3.22539,3.16662,7782,889,245751
280,2003,7,3.06982,3.0155,7649,903,253656
281,2003,8,3.20044,2.9978,7228,871,241110
282,2003,9,2.44888,2.31957,5606,857,241683
283,2003,10,2.1344,1.94707,4450,839,228549
284,2003,11,1.99866,1.72985,3810,835,220250
285,2003,12,1.93849,1.51837,2987,795,196724
286,2003,13,1.41293,1.22616,2439,775,198913
287,2003,14,1.23472,1.05433,2028,741,192349
288,2003,15,1.20005,1.07108,2082,735,194383
289,2003,16,0.910135,0.82612,1467,669,177577
290,2003,17,0.932265,0.820505,1445,682,176111
291,2003,18,0.692175,0.630846,1075,655,170406
292,2003,19,0.669406,0.63935,1005,613,157191
293,2003,20,0.727705,0.586609,836,547,142514
294,2003,21,0.717701,0.773024,740,406,95728
295,2003,22,0.789394,0.790743,641,393,81063
296,2003,23,0.722129,0.711847,563,344,79090
297,2003,24,0.591326,0.794637,620,341,78023
298,2003,25,0.52307,0.586604,423,322,72110
299,2003,26,0.450236,0.615982,441,322,71593
300,2003,27,0.397421,0.491507,318,310,64699
301,2003,28,0.448002,0.604341,441,308,72972
302,2003,29,0.474767,0.524478,365,301,69593
303,2003,30,0.453251,0.590692,420,302,71103
304,2003,31,0.352158,0.505135,361,290,71466
305,2003,32,0.525322,0.634271,443,295,69844
306,2003,33,0.492991,0.610118,421,283,69003
307,2003,34,0.542728,0.641227,450,277,70178
308,2003,35,0.490347,0.661429,463,276,70000
309,2003,36,0.735914,0.792681,519,271,65474
310,2003,37,0.581771,0.639059,475,267,74328
311,2003,38,0.654162,0.636732,461,264,72401
312,2003,39,0.749504,0.747829,533,268,71273
313,2003,40,0.884021,0.960873,2442,830,254144
314,2003,41,1.02773,1.04325,2932,931,281045
315,2003,42,1.28296,1.0545,3031,974,287436
316,2003,43,1.32661,1.11231,3475,1007,312412
317,2003,44,1.77304,1.41274,4690,1074,331980
318,2003,45,2.43814,1.72703,5790,1111,335258
319,2003,46,2.72605,2.407,8385,1141,348359
320,2003,47,3.73192,3.10962,11141,1129,358275
321,2003,48,4.54894,4.30779,11742,1118,272576
322,2003,49,5.39906,4.8303,18948,1189,392274
323,2003,50,7.38735,6.42905,24962,1173,388269
324,2003,51,7.48097,6.86734,23699,1148,345097
325,2003,52,7.62797,7.06496,16415,1122,232344
326,2003,53,5.14051,4.55115,11332,1139,248992
327,2004,1,2.89129,2.41833,7602,1160,314349
328,2004,2,2.10429,1.80906,5583,1141,308614
329,2004,3,1.88696,1.71202,4961,1084,289774
330,2004,4,1.7766,1.5425,4436,1071,287586
331,2004,5,1.46001,1.43787,4251,1054,295646
332,2004,6,1.37787,1.32427,3824,986,288762
333,2004,7,1.30532,1.30726,3691,1004,282347
334,2004,8,1.08691,1.03698,2916,948,281202
335,2004,9,0.991888,1.01032,2744,894,271597
336,2004,10,1.02765,1.05249,2708,897,257294
337,2004,11,1.0579,1.02009,2487,849,243802
338,2004,12,0.849361,0.924419,2300,859,248805
339,2004,13,0.747127,0.790645,1858,828,234998
